x1,y1,z1
0.0,0,0.0
0.64,0,14.03910001730775
-0.58,0,3.863137138648348
-0.32,0,-7.019550008653876
0.32,0,7.019550008653875
-0.8999999999999999,0,-3.156412870005528
-0.25999999999999995,0,10.88268714730222
0.0,0,-12.0
0.64,0,2.0391000173077485
-0.58,0,-8.136862861351652
-0.32,0,-19.019550008653876
0.32,0,-4.980449991346125
-0.8999999999999999,0,-15.156412870005527
-0.25999999999999995,0,-1.1173128526977778
0.0,0,12.0
0.64,0,26.039100017307746
-0.58,0,15.863137138648348
-0.32,0,4.980449991346124
0.32,0,19.019550008653873
-0.8999999999999999,0,8.843587129994471
-0.25999999999999995,0,22.88268714730222
